Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50854655,"El duque y yo (Bridgerton, #1)",Julia Quinn,"Quinn, Julia",Mireia Terés Loriente,"=""8416327815""","=""9788416327812""",0,3.86,Urano,Paperback,315,2019,2000,,2021/01/18,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
9025186,"Ciudad de hueso (Cazadores de sombras, #1)",Cassandra Clare,"Clare, Cassandra",Gemma Gallart,"=""9507321276""","=""9789507321276""",3,4.09,Destino,Paperback,512,2010,2007,2021/08/08,2018/02/05,"2018, 2021","2018 (#16), 2021 (#18)",read,"This book for me was a re-read and I must say that although I have enjoyed it and loved to go back to the beginning of the story I have found it a little bit slow and some parts have not been as memorable as I remembered. However, I loved the characters and hope you give it an opportunity to this book the saga and the whole world of the Shadowhunters. ",,,2,,,0,,,,,
6029507,Diez negritos,Agatha Christie,"Christie, Agatha",Orestes Llorens,"=""9871144482""","=""9789871144488""",0,4.26,Planeta,Paperback,167,2004,1939,,2021/08/04,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
403852,"La llamada de los muertos (Crónicas De La Torre, #3)",Laura Gallego García,"García, Laura Gallego",,"=""8434894394""","=""9788434894396""",0,4.05,SM,Paperback,240,2003,2003,,2021/07/29,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",0,4.09,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2021/07/04,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
54319549,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.50,Blue Box Press,Kindle Edition,637,2020,2020,,2021/07/04,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
44437253,Piso para dos,Beth O'Leary,"O'Leary, Beth",María del Mar López Gil,"=""849129306X""","=""9788491293064""",4,4.09,Suma de letras,Paperback,494,2019,2019,2021/07/02,2021/06/29,2021,2021 (#17),read,I have fallen in love with this story and its characters. Apart from being a romantic novel it also shows the reality of some relationships and how we do not see things as they are sometimes. I enjoyed it from the early pages and could not stop reading until I finished. I recommend it for sure. ,true,,1,,,0,,,,,
51574372,"Heartstopper, Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,"=""144495279X""","=""9781444952797""",5,4.70,Hodder Children's Books,Paperback,353,2021,2021,2021/06/24,2021/06/24,2021,2021 (#16),read,It treats mental health issues and eating disorders in an extraordinarily easy way. People can learn a lot and understand these things better in an easy way by just reading those graphic novels. It is really quick to read and I recommend anyone to give this series an opportunity. ,,,1,,,0,,,,,
52831200,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457017""","=""9781952457012""",4,4.30,Blue Box Press,ebook,454,2020,2020,2021/06/24,2021/05/31,2021,2021 (#15),read,"I enjoyed this book a lot. However, there were some parts that were predictable and that made my feel a little bit disappointed as well as with some characters behaviour. However, as an overall, I recommend it since it is addictive and easy to read. ",,,1,,,0,,,,,
34895950,"The Tea Dragon Society (Tea Dragon, #1)",Kay O'Neill,"O'Neill, Kay",,"=""1620104415""","=""9781620104415""",4,4.36,Oni Press,Hardcover,72,2017,2017,2021/06/03,2019/11/23,2021,2021 (#14),read,It’s a really cute book and the story behind is so sweet I loved. Besides the drawings are incredible.,,,1,,,0,,,,,
