Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
55240343,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457254""","=""9781952457258""",0,4.26,Blue Box Press,Paperback,645,2021,2021,,2021/06/23,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.36,Avery,Kindle Edition,319,2018,2018,,2021/07/29,"2021, currently-reading","2021 (#25), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",4,4.34,Sceptre,Hardcover,342,2018,2018,2021/01/24,2020/11/11,2021,2021 (#5),read,,,,1,,,0,,,,,
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,"Weisberger, Lauren",,"=""0307275558""","=""9780307275554""",0,3.76,Anchor Books,Paperback,432,2006,2003,,2021/08/09,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
57815107,"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""9781952457722""",0,4.82,Blue Box Press,ebook,,2022,2022,,2021/08/07,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
54319549,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",3,4.50,Blue Box Press,Kindle Edition,637,2020,2020,2021/08/07,2021/06/23,,,read,,,,1,,,0,,,,,
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",3,4.09,Margaret K. McElderry Books,Hardcover,485,2007,2007,2021/08/04,2020/11/11,2021,2021 (#26),read,,,,1,,,0,,,,,
36478784,The Flatshare,Beth O'Leary,"O'Leary, Beth",,"=""1787474402""","=""9781787474406""",0,4.09,Quercus,Hardcover,394,2019,2019,,2021/08/02,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
52861201,"From Blood and Ash (Blood And Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457009""","=""9781952457005""",4,4.30,Blue Box Press,Paperback,613,2020,2020,2021/06/23,2021/05/31,2021,2021 (#23),read,,,,1,,,0,,,,,
57023075,El arte de engañar al karma,Elísabet Benavent,"Benavent, Elísabet",,"=""8491291938""","=""9788491291930""",4,4.01,Suma,Paperback,696,2021,2021,2021/07/29,2021/07/23,2021,2021 (#24),read,,,,1,,,0,,,,,
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062310631""","=""9780062310637""",5,4.04,HarperTeen,Hardcover,383,2015,2015,,2020/11/11,2020,2020 (#21),read,,,,1,,,0,,,,,
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062310666""","=""9780062310668""",4,3.85,HarperTeen,Hardcover,444,2016,2016,,2020/11/11,2020,2020 (#20),read,,,,1,,,0,,,,,
30226723,"King's Cage (Red Queen, #3)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062310712""","=""9780062310712""",4,3.97,HarperTeen,ebook,528,2017,2017,,2020/11/11,2020,2020 (#19),read,,,,1,,,0,,,,,
27188596,"War Storm (Red Queen, #4)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062422995""","=""9780062422996""",3,3.87,HarperTeen,Hardcover,662,2018,2018,2020/11/16,2020/11/11,2020,2020 (#18),read,,,,1,,,0,,,,,
42083967,"Broken Throne (Red Queen, #4.5)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",4,3.97,Orion,Kindle Edition,400,2019,2019,2020/12/04,2020/11/18,2020,2020 (#17),read,,,,1,,,0,,,,,
39071691,"The Bullet Journal Method: Track the Past, Order the Present, Design the Future",Ryder Carroll,"Carroll, Ryder",,"=""""","=""""",4,4.03,Portfolio,Kindle Edition,336,2018,2018,2020/12/24,2020/12/11,2020,2020 (#16),read,,,,1,,,0,,,,,
55607907,"Libres (Mujeres libres, #3)",Noemí Casquet,"Casquet, Noemí",,"=""846666761X""","=""9788466667616""",3,3.50,Ediciones B,Paperback,336,2020,,2020/11/25,2020/11/18,2020,2020 (#15),read,,,,1,,,0,,,,,
52192844,"Malas (Mujeres libres, #2)",Noemí Casquet,"Casquet, Noemí",,"=""8466667601""","=""9788466667609""",3,3.37,Ediciones B,Paperback,288,2020,,2020/11/21,2020/11/18,2020,2020 (#14),read,,,,1,,,0,,,,,
51284256,"Zorras (Mujeres libres, #1)",Noemí Casquet,"Casquet, Noemí",,"=""8466667598""","=""9788466667593""",4,3.24,Ediciones B,Paperback,288,2020,,2020/11/18,2020/11/11,2020,2020 (#13),read,,,,1,,,0,,,,,
24465724,"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 3.1, 3.5)",Kiera Cass,"Cass, Kiera",Sandra Suy,"=""0008143676""","=""9780062414090""",4,4.13,HarperTeen,ebook,416,2015,2015,,2020/11/11,2020,2020 (#12),read,,,,1,,,0,,,,,
26074181,"The Crown (The Selection, #5)",Kiera Cass,"Cass, Kiera",,"=""0062392174""","=""9780062392176""",4,3.71,HarperTeen,Hardcover,278,2016,2016,,2020/11/11,2020,2020 (#11),read,,,,1,,,0,,,,,
22918050,"The Heir (The Selection, #4)",Kiera Cass,"Cass, Kiera",,"=""""","=""""",4,3.73,HarperTeen,Kindle Edition,342,2015,2015,,2020/11/11,2020,2020 (#10),read,,,,1,,,0,,,,,
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",5,4.00,HarperTeen,Hardcover,336,2013,2013,,2020/11/11,2020,2020 (#9),read,,,,1,,,0,,,,,
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",5,4.12,HarperTeen,Hardcover,336,2012,2012,,2020/11/11,2020,2020 (#8),read,,,,1,,,0,,,,,
18635016,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,"=""0062059998""","=""9780062059994""",5,4.18,HarperTeen,Hardcover,323,2014,2014,,2020/11/11,2020,2020 (#7),read,,,,1,,,0,,,,,
26198216,"Shiny Broken Pieces (Tiny Pretty Things, #2)",Sona Charaipotra,"Charaipotra, Sona",Dhonielle Clayton,"=""0062448544""","=""9780062448545""",4,3.82,HarperCollins,Audiobook,,2016,2016,2021/02/18,2021/01/29,2021,2021 (#22),read,,,,1,,,0,,,,,
18710209,"Tiny Pretty Things (Tiny Pretty Things, #1)",Sona Charaipotra,"Charaipotra, Sona",Dhonielle Clayton,"=""""","=""""",4,3.70,HarperTeen,Kindle Edition,448,2015,2015,2021/02/13,2021/01/29,2021,2021 (#21),read,,,,1,,,0,,,,,
